symbol,timestamp,bestBid,bestAsk,mid,spread,spreadPct,bidQty1,askQty1,bidQty5,askQty5,imbalance
B-STX_USDT,1789556006074,0.2371,0.2372,0.23715,0.00009999999999998899,0.0004217629692112568,2169,2408,83588,131621,0.38840383069481293
B-STX_USDT,1789556007306,0.2371,0.2372,0.23715,0.00009999999999998899,0.0004217629692112568,2195,2408,83614,131621,0.38847771040955237
B-STX_USDT,1789556008515,0.2371,0.2372,0.23715,0.00009999999999998899,0.0004217629692112568,2195,2408,83614,130355,0.39077623394043065
B-STX_USDT,1789556009737,0.2371,0.2372,0.23715,0.00009999999999998899,0.0004217629692112568,2195,2408,83614,131620,0.3884795153182118
B-STX_USDT,1789556010940,0.2371,0.2372,0.23715,0.00009999999999998899,0.0004217629692112568,2195,2408,83614,130355,0.39077623394043065
B-STX_USDT,1789556012147,0.2371,0.2372,0.23715,0.00009999999999998899,0.0004217629692112568,2195,1884,83614,122295,0.4060725854625101
B-STX_USDT,1789556013359,0.2371,0.2372,0.23715,0.00009999999999998899,0.0004217629692112568,2195,1884,83614,122361,0.40594246874620704
B-STX_USDT,1789556014560,0.2371,0.2372,0.23715,0.00009999999999998899,0.0004217629692112568,2195,1884,83614,122361,0.40594246874620704
B-STX_USDT,1789556015753,0.2371,0.2372,0.23715,0.00009999999999998899,0.0004217629692112568,2195,1884,83614,122361,0.40594246874620704
B-STX_USDT,1789556016933,0.2371,0.2372,0.23715,0.00009999999999998899,0.0004217629692112568,2195,1884,83614,122361,0.40594246874620704
B-STX_USDT,1789556018167,0.2371,0.2372,0.23715,0.00009999999999998899,0.0004217629692112568,2195,1884,84378,123714,0.4054841127962632
B-STX_USDT,1789556019644,0.2371,0.2372,0.23715,0.00009999999999998899,0.0004217629692112568,2195,2430,84378,124260,0.4044229718459724
B-STX_USDT,1789556020839,0.2371,0.2372,0.23715,0.00009999999999998899,0.0004217629692112568,2195,2430,84378,124282,0.4043803316399885
B-STX_USDT,1789556022054,0.2371,0.2372,0.23715,0.00009999999999998899,0.0004217629692112568,2195,2430,84378,124282,0.4043803316399885
B-STX_USDT,1789556023256,0.2371,0.2372,0.23715,0.00009999999999998899,0.0004217629692112568,2195,2395,84378,124181,0.40457616310012995
B-STX_USDT,1789556024449,0.2371,0.2372,0.23715,0.00009999999999998899,0.0004217629692112568,2195,2395,84378,124181,0.40457616310012995
B-STX_USDT,1789556025623,0.2371,0.2372,0.23715,0.00009999999999998899,0.0004217629692112568,2164,2395,84347,124181,0.40448764674288346
B-STX_USDT,1789556026795,0.2371,0.2372,0.23715,0.00009999999999998899,0.0004217629692112568,2164,2395,84347,124181,0.40448764674288346
B-STX_USDT,1789556027996,0.2371,0.2372,0.23715,0.00009999999999998899,0.0004217629692112568,2164,2395,84347,124181,0.40448764674288346
B-STX_USDT,1789556029205,0.2371,0.2372,0.23715,0.00009999999999998899,0.0004217629692112568,2164,2395,84347,124181,0.40448764674288346
B-STX_USDT,1789556030383,0.2371,0.2372,0.23715,0.00009999999999998899,0.0004217629692112568,2164,2395,84347,124181,0.40448764674288346
B-STX_USDT,1789556031579,0.2371,0.2372,0.23715,0.00009999999999998899,0.0004217629692112568,2164,2395,84347,124181,0.40448764674288346
B-STX_USDT,1789556032758,0.2371,0.2372,0.23715,0.00009999999999998899,0.0004217629692112568,2164,2395,84347,124181,0.40448764674288346
B-STX_USDT,1789556033951,0.2371,0.2372,0.23715,0.00009999999999998899,0.0004217629692112568,2164,2395,84347,124181,0.40448764674288346
B-STX_USDT,1789556035143,0.2371,0.2372,0.23715,0.00009999999999998899,0.0004217629692112568,2164,2395,84347,127657,0.39785570083583327
B-STX_USDT,1789556036334,0.2371,0.2372,0.23715,0.00009999999999998899,0.0004217629692112568,1924,4057,84100,136949,0.3804586313441816
B-STX_USDT,1789556037544,0.2371,0.2372,0.23715,0.00009999999999998899,0.0004217629692112568,1924,4057,84100,136949,0.3804586313441816
B-STX_USDT,1789556038742,0.237,0.2371,0.23704999999999998,0.00010000000000001674,0.00042194092827011284,3529,5272,95440,100092,0.48810424892089277
B-STX_USDT,1789556039926,0.237,0.2371,0.23704999999999998,0.00010000000000001674,0.00042194092827011284,1462,3977,94948,98797,0.49006684043459187
B-STX_USDT,1789556041141,0.237,0.2371,0.23704999999999998,0.00010000000000001674,0.00042194092827011284,1462,4035,94948,97495,0.4933824561038853
B-STX_USDT,1789556042773,0.237,0.2371,0.23704999999999998,0.00010000000000001674,0.00042194092827011284,1505,4035,94991,97495,0.4934956308510749
B-STX_USDT,1789556043981,0.237,0.2371,0.23704999999999998,0.00010000000000001674,0.00042194092827011284,1501,4035,95071,107017,0.47044356913819724
B-STX_USDT,1789556045212,0.237,0.2371,0.23704999999999998,0.00010000000000001674,0.00042194092827011284,1477,4187,95047,107169,0.4700270997349369
B-STX_USDT,1789556046423,0.237,0.2371,0.23704999999999998,0.00010000000000001674,0.00042194092827011284,1477,4187,95047,107169,0.4700270997349369
B-STX_USDT,1789556047602,0.237,0.2371,0.23704999999999998,0.00010000000000001674,0.00042194092827011284,1477,4187,93992,107169,0.4672476275222334
B-STX_USDT,1789556048807,0.237,0.2371,0.23704999999999998,0.00010000000000001674,0.00042194092827011284,1477,4187,95047,107169,0.4700270997349369
B-STX_USDT,1789556050010,0.237,0.2371,0.23704999999999998,0.00010000000000001674,0.00042194092827011284,1477,4187,95047,107169,0.4700270997349369
B-STX_USDT,1789556051211,0.237,0.2371,0.23704999999999998,0.00010000000000001674,0.00042194092827011284,1477,4187,95047,107169,0.4700270997349369
B-STX_USDT,1789556052407,0.237,0.2371,0.23704999999999998,0.00010000000000001674,0.00042194092827011284,1477,4187,95047,107169,0.4700270997349369
B-STX_USDT,1789556053819,0.237,0.2371,0.23704999999999998,0.00010000000000001674,0.00042194092827011284,1539,4187,95109,107169,0.4701895411265684
B-STX_USDT,1789556055157,0.237,0.2371,0.23704999999999998,0.00010000000000001674,0.00042194092827011284,1539,4187,95324,107169,0.4707520753803835
B-STX_USDT,1789556056394,0.237,0.2371,0.23704999999999998,0.00010000000000001674,0.00042194092827011284,1539,4187,95324,107169,0.4707520753803835
B-STX_USDT,1789556057577,0.237,0.2371,0.23704999999999998,0.00010000000000001674,0.00042194092827011284,1539,4187,95324,107169,0.4707520753803835
B-STX_USDT,1789556058766,0.237,0.2371,0.23704999999999998,0.00010000000000001674,0.00042194092827011284,1539,4187,95324,107169,0.4707520753803835
B-STX_USDT,1789556059945,0.237,0.2371,0.23704999999999998,0.00010000000000001674,0.00042194092827011284,1539,4187,95324,107169,0.4707520753803835
B-STX_USDT,1789556061130,0.237,0.2371,0.23704999999999998,0.00010000000000001674,0.00042194092827011284,1561,4187,95346,107169,0.47080956966150656
B-STX_USDT,1789556062310,0.237,0.2371,0.23704999999999998,0.00010000000000001674,0.00042194092827011284,1711,3111,95496,106093,0.4737163238073506
B-STX_USDT,1789556063499,0.237,0.2371,0.23704999999999998,0.00010000000000001674,0.00042194092827011284,1711,3111,95496,106093,0.4737163238073506
B-STX_USDT,1789556064694,0.237,0.2371,0.23704999999999998,0.00010000000000001674,0.00042194092827011284,1561,3111,95346,106093,0.4733244307209627
B-STX_USDT,1789556065862,0.237,0.2371,0.23704999999999998,0.00010000000000001674,0.00042194092827011284,1561,3111,95346,106093,0.4733244307209627
B-TIA_USDT,1789556006204,0.3276,0.3277,0.32765,0.00009999999999998899,0.00030525030525027164,11608,165,128273,109865,0.538649858485416
