Behavior,Timeframe,Event,Forward Window,Observations,Mean Return %,Median Return %,Positive %,Baseline Return %
Breakout,1h,long_5,3,25578,0.0014,-0.0024,47.56,0.0249
Breakout,1h,long_5,5,25578,0.0020,-0.0040,47.55,0.0413
Breakout,1h,long_5,10,25578,0.0018,-0.0062,47.52,0.0827
Breakout,1h,long_10,1,17596,0.0007,-0.0000,47.21,0.0082
Breakout,1h,long_10,3,17596,0.0006,-0.0036,46.70,0.0249
Breakout,1h,long_10,5,17596,0.0010,-0.0061,46.59,0.0413
Breakout,1h,long_10,10,17596,-0.0001,-0.0075,46.95,0.0827
Breakout,1h,long_20,1,11607,0.0011,-0.0000,46.44,0.0082
Breakout,1h,long_20,3,11607,0.0010,-0.0051,45.95,0.0249
Breakout,1h,long_20,5,11607,0.0016,-0.0083,45.58,0.0413
Breakout,1h,long_20,10,11607,0.0015,-0.0093,46.26,0.0827
Breakout,1h,short_5,1,26062,0.0010,0.0000,48.78,0.0082
Breakout,1h,short_5,3,26062,0.0033,0.0009,50.96,0.0249
Breakout,1h,short_5,5,26062,0.0055,0.0031,51.74,0.0413
Breakout,1h,short_5,10,26062,0.0086,0.0042,51.78,0.0827
Breakout,1h,short_10,1,18045,0.0010,0.0000,48.97,0.0082
Breakout,1h,short_10,3,18045,0.0040,0.0021,51.65,0.0249
Breakout,1h,short_10,5,18045,0.0075,0.0047,52.77,0.0413
Breakout,1h,short_10,10,18045,0.0113,0.0069,52.88,0.0827
Breakout,1h,short_20,1,12070,0.0003,0.0000,49.16,0.0082
Breakout,1h,short_20,3,12070,0.0044,0.0031,52.18,0.0249
Breakout,1h,short_20,5,12070,0.0083,0.0058,53.38,0.0413
Breakout,1h,short_20,10,12070,0.0134,0.0087,53.50,0.0827
MeanRev,1h,pos_0.25_0.50,1,3534,0.0005,-0.0053,46.77,0.0082
MeanRev,1h,pos_0.25_0.50,3,3534,0.0022,-0.0129,45.93,0.0249
MeanRev,1h,pos_0.25_0.50,5,3534,0.0062,-0.0123,46.15,0.0413
MeanRev,1h,pos_0.25_0.50,10,3534,0.0071,-0.0156,46.77,0.0827
MeanRev,1h,pos_0.50_1.00,1,2737,-0.0036,-0.0013,48.41,0.0082
MeanRev,1h,pos_0.50_1.00,3,2737,-0.0036,-0.0010,49.54,0.0249
MeanRev,1h,pos_0.50_1.00,5,2737,-0.0063,-0.0038,48.74,0.0413
MeanRev,1h,pos_0.50_1.00,10,2737,-0.0075,-0.0031,49.32,0.0827
MeanRev,1h,pos_gt_1.00,1,20949,0.0021,-0.0003,48.90,0.0082
MeanRev,1h,pos_gt_1.00,3,20949,0.0061,-0.0017,49.24,0.0249
MeanRev,1h,pos_gt_1.00,5,20949,0.0101,-0.0019,49.43,0.0413
MeanRev,1h,pos_gt_1.00,10,20949,0.0203,-0.0011,49.78,0.0827
MeanRev,1h,neg_0.25_0.50,1,3287,0.0007,0.0032,52.30,0.0082
MeanRev,1h,neg_0.25_0.50,3,3287,0.0023,0.0129,54.30,0.0249
MeanRev,1h,neg_0.25_0.50,5,3287,0.0058,0.0162,54.85,0.0413
MeanRev,1h,neg_0.25_0.50,10,3287,0.0087,0.0279,55.13,0.0827
MeanRev,1h,neg_0.50_1.00,1,1115,0.0096,0.0128,53.90,0.0082
MeanRev,1h,neg_0.50_1.00,3,1115,0.0396,0.0367,58.03,0.0249
MeanRev,1h,neg_0.50_1.00,5,1115,0.0491,0.0516,58.03,0.0413
MeanRev,1h,neg_0.50_1.00,10,1115,0.0477,0.0528,56.23,0.0827
MeanRev,1h,neg_lt_1.00,1,13592,0.0016,0.0000,49.95,0.0082
MeanRev,1h,neg_lt_1.00,3,13592,0.0053,0.0007,50.19,0.0249
MeanRev,1h,neg_lt_1.00,5,13592,0.0095,0.0065,51.09,0.0413
MeanRev,1h,neg_lt_1.00,10,13592,0.0205,0.0156,51.67,0.0827
VolExpand,1h,inc_10_25,1,8091,0.0004,0.0000,47.05,0.0082
VolExpand,1h,inc_10_25,3,8091,0.0013,0.0000,49.04,0.0249
VolExpand,1h,inc_10_25,5,8091,0.0026,0.0000,49.83,0.0413
VolExpand,1h,inc_10_25,10,8091,0.0068,0.0000,49.97,0.0827
VolExpand,1h,inc_25_50,1,1391,0.0034,0.0000,48.67,0.0082
VolExpand,1h,inc_25_50,3,1391,-0.0008,0.0000,49.25,0.0249
VolExpand,1h,inc_25_50,5,1391,-0.0025,0.0000,49.10,0.0413
VolExpand,1h,inc_25_50,10,1391,-0.0007,0.0000,49.75,0.0827
VolExpand,1h,inc_gt_50,1,416,-0.0068,0.0000,43.27,0.0082
VolExpand,1h,inc_gt_50,3,416,-0.0025,-0.0000,44.71,0.0249
VolExpand,1h,inc_gt_50,5,416,0.0032,-0.0020,45.67,0.0413
VolExpand,1h,inc_gt_50,10,416,0.0129,-0.0018,48.32,0.0827
