Hypothesis,Timeframe,Observations,MFE_1b,MFE_5b,MFE_10b,MFE_20b,MAE_1b,MAE_5b,MAE_10b,MAE_20b,TP0.5%Hit,TP1.0%Hit,SL0.5%Hit,SL1.0%Hit
MeanRev,5m,660,0.14,0.30,0.41,0.55,-0.14,-0.30,-0.41,-0.55,73.3%,42.1%,61.1%,31.5%
MeanRev,15m,87,0.16,0.39,0.51,0.68,-0.16,-0.30,-0.45,-0.59,83.9%,67.8%,74.7%,62.1%
MeanRev,30m,147,0.20,0.51,0.78,1.17,-0.18,-0.38,-0.56,-0.95,93.9%,79.6%,81.0%,70.1%
MeanRev,1h,89,0.16,0.42,0.62,0.91,-0.15,-0.29,-0.38,-0.50,98.9%,97.8%,69.7%,28.1%
MomRevert,5m,32,0.33,0.58,0.83,0.94,-0.34,-0.57,-0.61,-0.75,75.0%,50.0%,68.8%,53.1%
MomRevert,30m,83,0.34,0.70,1.07,1.28,-0.44,-0.75,-0.90,-1.04,91.6%,71.1%,85.5%,61.4%
MomRevert,1h,96,0.45,0.99,1.26,1.59,-0.40,-0.75,-0.88,-1.24,94.8%,84.4%,88.5%,70.8%
