symbol,timestamp,bestBid,bestAsk,mid,spread,spreadPct
B-STX_USDT,1789563072705,0.2381,0.2382,0.23815,0.00009999999999998899,0.00041999160016795037
B-STX_USDT,1789563075211,0.2381,0.2382,0.23815,0.00009999999999998899,0.00041999160016795037
B-STX_USDT,1789563077672,0.2381,0.2382,0.23815,0.00009999999999998899,0.00041999160016795037
B-STX_USDT,1789563080102,0.2381,0.2382,0.23815,0.00009999999999998899,0.00041999160016795037
B-STX_USDT,1789563082520,0.2381,0.2382,0.23815,0.00009999999999998899,0.00041999160016795037
B-STX_USDT,1789563084963,0.238,0.2381,0.23804999999999998,0.00010000000000001674,0.00042016806722696115
B-STX_USDT,1789563087440,0.238,0.2381,0.23804999999999998,0.00010000000000001674,0.00042016806722696115
B-STX_USDT,1789563089964,0.238,0.2381,0.23804999999999998,0.00010000000000001674,0.00042016806722696115
B-STX_USDT,1789563092425,0.238,0.2381,0.23804999999999998,0.00010000000000001674,0.00042016806722696115
B-STX_USDT,1789563095117,0.238,0.2381,0.23804999999999998,0.00010000000000001674,0.00042016806722696115
B-STX_USDT,1789563097587,0.2379,0.238,0.23795,0.00009999999999998899,0.0004203446826397183
B-STX_USDT,1789563100075,0.2379,0.238,0.23795,0.00009999999999998899,0.0004203446826397183
B-STX_USDT,1789563102498,0.2379,0.238,0.23795,0.00009999999999998899,0.0004203446826397183
B-STX_USDT,1789563104990,0.2379,0.238,0.23795,0.00009999999999998899,0.0004203446826397183
B-STX_USDT,1789563107438,0.2379,0.238,0.23795,0.00009999999999998899,0.0004203446826397183
B-STX_USDT,1789563109893,0.238,0.2381,0.23804999999999998,0.00010000000000001674,0.00042016806722696115
B-STX_USDT,1789563112331,0.238,0.2381,0.23804999999999998,0.00010000000000001674,0.00042016806722696115
B-STX_USDT,1789563114748,0.238,0.2381,0.23804999999999998,0.00010000000000001674,0.00042016806722696115
B-STX_USDT,1789563117161,0.238,0.2381,0.23804999999999998,0.00010000000000001674,0.00042016806722696115
B-STX_USDT,1789563119622,0.238,0.2381,0.23804999999999998,0.00010000000000001674,0.00042016806722696115
B-STX_USDT,1789563122055,0.238,0.2381,0.23804999999999998,0.00010000000000001674,0.00042016806722696115
B-STX_USDT,1789563124505,0.238,0.2381,0.23804999999999998,0.00010000000000001674,0.00042016806722696115
B-STX_USDT,1789563126992,0.238,0.2381,0.23804999999999998,0.00010000000000001674,0.00042016806722696115
B-STX_USDT,1789563129468,0.238,0.2381,0.23804999999999998,0.00010000000000001674,0.00042016806722696115
B-STX_USDT,1789563132755,0.238,0.2381,0.23804999999999998,0.00010000000000001674,0.00042016806722696115
B-STX_USDT,1789563135210,0.238,0.2381,0.23804999999999998,0.00010000000000001674,0.00042016806722696115
B-STX_USDT,1789563137657,0.238,0.2381,0.23804999999999998,0.00010000000000001674,0.00042016806722696115
B-STX_USDT,1789563140138,0.238,0.2381,0.23804999999999998,0.00010000000000001674,0.00042016806722696115
B-STX_USDT,1789563142582,0.238,0.2381,0.23804999999999998,0.00010000000000001674,0.00042016806722696115
B-STX_USDT,1789563145000,0.238,0.2381,0.23804999999999998,0.00010000000000001674,0.00042016806722696115
B-STX_USDT,1789563147423,0.2379,0.238,0.23795,0.00009999999999998899,0.0004203446826397183
B-STX_USDT,1789563149843,0.2379,0.238,0.23795,0.00009999999999998899,0.0004203446826397183
B-STX_USDT,1789563152289,0.2379,0.238,0.23795,0.00009999999999998899,0.0004203446826397183
B-STX_USDT,1789563154729,0.2379,0.238,0.23795,0.00009999999999998899,0.0004203446826397183
B-STX_USDT,1789563157256,0.2379,0.238,0.23795,0.00009999999999998899,0.0004203446826397183
B-STX_USDT,1789563159706,0.2379,0.238,0.23795,0.00009999999999998899,0.0004203446826397183
B-STX_USDT,1789563162213,0.2379,0.238,0.23795,0.00009999999999998899,0.0004203446826397183
B-STX_USDT,1789563164708,0.2379,0.238,0.23795,0.00009999999999998899,0.0004203446826397183
B-STX_USDT,1789563167199,0.2379,0.238,0.23795,0.00009999999999998899,0.0004203446826397183
B-STX_USDT,1789563169675,0.2379,0.238,0.23795,0.00009999999999998899,0.0004203446826397183
B-STX_USDT,1789563172135,0.2379,0.238,0.23795,0.00009999999999998899,0.0004203446826397183
B-STX_USDT,1789563174619,0.2379,0.238,0.23795,0.00009999999999998899,0.0004203446826397183
B-STX_USDT,1789563177066,0.2379,0.238,0.23795,0.00009999999999998899,0.0004203446826397183
B-STX_USDT,1789563179545,0.2379,0.238,0.23795,0.00009999999999998899,0.0004203446826397183
B-STX_USDT,1789563182314,0.2379,0.238,0.23795,0.00009999999999998899,0.0004203446826397183
B-STX_USDT,1789563184772,0.2379,0.238,0.23795,0.00009999999999998899,0.0004203446826397183
B-STX_USDT,1789563187257,0.2379,0.238,0.23795,0.00009999999999998899,0.0004203446826397183
B-STX_USDT,1789563189683,0.2379,0.238,0.23795,0.00009999999999998899,0.0004203446826397183
B-STX_USDT,1789563192104,0.2379,0.238,0.23795,0.00009999999999998899,0.0004203446826397183
B-STX_USDT,1789563194559,0.2379,0.238,0.23795,0.00009999999999998899,0.0004203446826397183
B-STX_USDT,1789563197431,0.2382,0.2383,0.23825000000000002,0.00010000000000001674,0.00041981528127630875
B-STX_USDT,1789563199883,0.2382,0.2383,0.23825000000000002,0.00010000000000001674,0.00041981528127630875
B-STX_USDT,1789563202332,0.2383,0.2384,0.23835,0.00009999999999998899,0.0004196391103650398
B-STX_USDT,1789563204796,0.2383,0.2384,0.23835,0.00009999999999998899,0.0004196391103650398
B-STX_USDT,1789563207240,0.2384,0.2385,0.23845,0.00009999999999998899,0.00041946308724827595
B-STX_USDT,1789563209663,0.2384,0.2385,0.23845,0.00009999999999998899,0.00041946308724827595
B-STX_USDT,1789563212109,0.2384,0.2385,0.23845,0.00009999999999998899,0.00041946308724827595
B-STX_USDT,1789563214529,0.2384,0.2385,0.23845,0.00009999999999998899,0.00041946308724827595
B-STX_USDT,1789563216954,0.2384,0.2385,0.23845,0.00009999999999998899,0.00041946308724827595
B-STX_USDT,1789563219405,0.2384,0.2385,0.23845,0.00009999999999998899,0.00041946308724827595
B-STX_USDT,1789563221902,0.2383,0.2384,0.23835,0.00009999999999998899,0.0004196391103650398
B-STX_USDT,1789563224400,0.2383,0.2384,0.23835,0.00009999999999998899,0.0004196391103650398
B-STX_USDT,1789563226894,0.2383,0.2384,0.23835,0.00009999999999998899,0.0004196391103650398
B-STX_USDT,1789563229365,0.2383,0.2384,0.23835,0.00009999999999998899,0.0004196391103650398
B-STX_USDT,1789563231881,0.2383,0.2384,0.23835,0.00009999999999998899,0.0004196391103650398
B-STX_USDT,1789563234312,0.2382,0.2383,0.23825000000000002,0.00010000000000001674,0.00041981528127630875
B-STX_USDT,1789563236747,0.2382,0.2383,0.23825000000000002,0.00010000000000001674,0.00041981528127630875
B-STX_USDT,1789563239199,0.2382,0.2383,0.23825000000000002,0.00010000000000001674,0.00041981528127630875
B-STX_USDT,1789563241641,0.2382,0.2383,0.23825000000000002,0.00010000000000001674,0.00041981528127630875
B-STX_USDT,1789563244077,0.2382,0.2383,0.23825000000000002,0.00010000000000001674,0.00041981528127630875
B-STX_USDT,1789563246753,0.2382,0.2383,0.23825000000000002,0.00010000000000001674,0.00041981528127630875
B-STX_USDT,1789563249211,0.2382,0.2383,0.23825000000000002,0.00010000000000001674,0.00041981528127630875
B-STX_USDT,1789563251634,0.2382,0.2383,0.23825000000000002,0.00010000000000001674,0.00041981528127630875
B-STX_USDT,1789563254067,0.2382,0.2383,0.23825000000000002,0.00010000000000001674,0.00041981528127630875
B-STX_USDT,1789563256488,0.2382,0.2383,0.23825000000000002,0.00010000000000001674,0.00041981528127630875
