tradeId,candidate,direction,entryTime,entryPrice,exitTime,exitPrice,quantity,notional,usedMargin,holdDurationMs,exitReason,grossPnlUsdt,entryFeeUsdt,exitFeeUsdt,feesUsdt,netPnlUsdt,entryReason,MFE,MAE,balanceBefore,balanceAfter,status
1,CONFLUENCE,SHORT,1789809783422,2650.9,1789810066393,2649.33,0.01,26.509,3.313625,282971,OPEN_AT_SESSION_END,0.015700000000001636,0.026509,0.0264933,0.0530023,-0.037302299999998366,S-CONFLUENCE Imb:3.2x,1.8800000000001091,1.2100000000000364,11.627906976744185,11.590604676744187,OPEN_AT_SESSION_END
2,CONFLUENCE,SHORT,1789809807032,2650,1789810066393,2649.33,0.01,26.5,3.3125,259361,OPEN_AT_SESSION_END,0.006700000000000728,0.0265,0.0264933,0.0529933,-0.046293299999999274,S-CONFLUENCE Imb:7.1x,0.9800000000000182,2.1100000000001273,11.590604676744187,11.544311376744188,OPEN_AT_SESSION_END
3,CONFLUENCE,SHORT,1789809820599,2649.75,1789810066393,2649.33,0.01,26.497500000000002,3.3121875000000003,245794,OPEN_AT_SESSION_END,0.0042000000000007275,0.026497500000000004,0.0264933,0.052990800000000005,-0.048790799999999274,S-CONFLUENCE Imb:3.1x,0.7300000000000182,2.3600000000001273,11.544311376744188,11.49552057674419,OPEN_AT_SESSION_END
