timestamp,bestBid,bestAsk,mid,bidQty,askQty,spreadPercent,imbalance,microPrice,microEdgePercent,oneSecondReturn,twoSecondReturn,threeSecondReturn,thirtySecondReturn,oneMinuteReturn,threeMinuteReturn,fiveMinuteReturn,priceChangeFromStart,candidateACondition,candidateBCondition,candidateCCondition,candidateDCondition,signalCandidate,signalDirection,signal,positionState,entryPrice,quantity,usedMargin,availableMargin,unrealizedGrossPnl,unrealizedNetPnl,feedStatus,staleStatus,disconnectCount,reconnectCount
2026-09-19T08:24:11.733Z,2645.19,2645.2,2645.1949999999997,3.775,143.747,0.00037804396272348665,38.078675496688746,2645.190255894036,-0.00017934806181432538,-0.0003780425335737033,-0.0003780425335737033,-0.0003780425335737033,0,0,0,0,-0.030989998167078356,,,,,,,,,,0.01,0,11.627906976744185,0,0,FRESH,false,0,1
2026-09-19T08:24:41.742Z,2644.62,2644.63,2644.625,50.249,38.208,0.0003781254431240073,1.3151434254606367,2644.6256806131796,0.000025735716013086932,0.015505547014893059,0.015505547014893059,0.01285791811397582,-0.02154850587573729,0,0,0,-0.05253182616123972,,,,,,,,,,0.01,0,11.627906976744185,0,0,FRESH,false,0,1
2026-09-19T08:25:11.746Z,2644.29,2644.3,2644.295,91.765,206.162,0.0003781726320330477,2.246629978750068,2644.293080116941,-0.00007260472296566465,-0.0064285214589746035,-0.007562880625594607,-0.019661110512454814,-0.01247813962281712,-0.03402395664590461,0,0,-0.06500341078944202,,,,,,,,,,0.01,0,11.627906976744185,0,0,FRESH,false,0,1
2026-09-19T08:25:41.751Z,2644.99,2645,2644.995,49.371,494.215,0.0003780725483495537,10.01022867675356,2644.9909082463487,-0.0001546979730097686,0,0,0,0.02647208424172863,0.013990641395278757,0,0,-0.03854853430537757,,,,,,,,,,0.01,0,11.627906976744185,0,0,FRESH,false,0,1
2026-09-19T08:26:11.762Z,2643.2,2643.21,2643.205,73.918,104.74,0.0003783285821651472,1.416975567520766,2643.2041374021874,-0.00003263454073961298,0,-0.03214759148354946,-0.03214759148354946,-0.06767498615309155,-0.04122081689070794,0,0,-0.10619743274321573,,,,,,,,,,0.01,0,11.627906976744185,0,0,FRESH,false,0,1
2026-09-19T08:26:41.772Z,2644.12,2644.13,2644.125,100.407,75.455,0.0003781969460679158,1.3306871645351535,2644.125709419886,0.000026830043431360842,0,0,0,0.03480622955843655,-0.032892311705689084,0,0,-0.07142816650700495,,,,,,,,,,0.01,0,11.627906976744185,0,0,FRESH,false,0,1
2026-09-19T08:27:11.776Z,2643.65,2643.66,2643.6549999999997,110.692,1.142,0.0003782641834794454,96.92819614711034,2643.6598978843645,0.0001852694230037267,0.011727564884624998,0.011727564884624998,0.008322504619928235,-0.017775256464813677,0.017024786197053127,-0.05821877026079225,0,-0.0891907264320339,,,,,,,,,,0.01,0,11.627906976744185,0,0,FRESH,false,0,1
2026-09-19T08:27:41.782Z,2644.54,2644.55,2644.545,20.671,54.499,0.00037813688177808577,2.6364955735087805,2644.5427499002267,-0.00008508457119812337,0,0,0,0.03366551233047911,0.015884271734508498,-0.003025003544923278,0,-0.055555240616559406,,,,,,,,,,0.01,0,11.627906976744185,0,0,FRESH,false,0,1
2026-09-19T08:28:11.788Z,2643.35,2643.36,2643.355,45.614,39.704,0.0003783071135060663,1.1488515011082006,2643.3553463512976,0.000013102715964903806,-0.009456783445333171,-0.009456783445333171,-0.009456783445333171,-0.04499828893061205,-0.011347925504641384,-0.0355482274103326,0,-0.10052853063948274,,,,,,,,,,0.01,0,11.627906976744185,0,0,FRESH,false,0,1
2026-09-19T08:28:41.800Z,2643.35,2643.36,2643.355,54.007,62.196,0.0003783071135060663,1.1516284926028109,2643.3546476424876,-0.00001332993534291101,0.013242502378917522,0.013242502378917522,0.013242502378917522,0,-0.04499828893061205,-0.06200389792796858,0,-0.10052853063948274,,,,,,,,,,0.01,0,11.627906976744185,0,0,FRESH,false,0,1
2026-09-19T08:29:11.801Z,2643.59,2643.6,2643.5950000000003,55.425,64.025,0.00037827276870184466,1.1551646368967075,2643.5946400167436,-0.00001361718631854992,0,0,0,0.009079370723956355,0.009079370723956355,0.01475481470413106,-0.060487034037167556,-0.09145828727350648,,,,,,,,,,0.01,0,11.627906976744185,0,0,FRESH,false,0,1
2026-09-19T08:29:41.802Z,2642.53,2642.54,2642.535,140.019,177.124,0.0003784245052483139,1.2649997500339238,2642.5344150115243,-0.00002213739744473417,0,0,0,-0.04009691348335884,-0.031021183306826506,-0.060133314423491534,-0.07902821761119802,-0.13151852880654388,,,,,,,,,,0.01,0,11.627906976744185,0,0,FRESH,false,0,1
2026-09-19T08:30:11.813Z,2643.39,2643.4,2643.395,26.507,97.991,0.000378301388941807,3.6967970724714223,2643.3921291105075,-0.00010860614824655697,-0.023449186180878153,-0.024583545287621463,-0.029498803974782307,0.03254450745212939,-0.007565455374226114,-0.009834868770689198,-0.034035536882234804,-0.09901682341182287,,,,,,,,,,0.01,0,11.627906976744185,0,0,FRESH,false,0,1
2026-09-19T08:30:41.825Z,2643.52,2643.53,2643.525,20.741,143.506,0.00037828278530440524,6.918952798804301,2643.521262793232,-0.00014137209854888716,0,0,-0.010212592126090783,0.004917918056140272,0.03746402602047793,-0.03856996194052216,-0.05557666460616372,-0.0941037749219198,,,,,,,,,,0.01,0,11.627906976744185,0,0,FRESH,false,0,1
2026-09-19T08:31:11.824Z,2642.64,2642.65,2642.645,12.141,313.584,0.0003784087533595424,25.828514949345195,2642.6403727377387,-0.00017509965437044228,0,-0.0007568117790178404,-0.0037839443457431212,-0.03328888510606516,-0.02837260417001621,-0.026859805058345794,-0.021186400600783726,-0.12736133393047075,,,,,,,,,,0.01,0,11.627906976744185,0,0,FRESH,false,0,1
2026-09-19T08:31:41.837Z,2642.73,2642.74,2642.7349999999997,112.905,36.604,0.0003783958663946076,3.0844989618620917,2642.7375517192945,0.00009655600333906991,0,0,0,0.0034056787801498415,-0.029884340038411526,-0.023455041036877212,-0.052569375502305206,-0.12395999266824467,,,,,,,,,,0.01,0,11.627906976744185,0,0,FRESH,false,0,1
2026-09-19T08:32:11.839Z,2643.69,2643.7,2643.6949999999997,214.278,21.735,0.0003782584602143414,9.858661145617667,2643.699079076153,0.00015429450648336005,0.011349041667996163,0.019673309561399722,0.019294903686263486,0.0363260031747427,0.03973291910187434,0.003782727687087254,0.0015130567339521847,-0.08767901920437406,,,,,,,,,,0.01,0,11.627906976744185,0,0,FRESH,false,0,1
2026-09-19T08:32:41.841Z,2642.44,2642.45,2642.4449999999997,6.433,83.19,0.0003784373941468425,12.931758122182497,2642.4407177844973,-0.00016205504759309657,0,0,0,-0.04728230752791075,-0.010973480125701733,-0.003405820547320869,-0.07940874517167845,-0.13491987006878714,,,,,,,,,,0.01,0,11.627906976744185,0,0,FRESH,false,0,1
2026-09-19T08:33:11.848Z,2642.62,2642.63,2642.625,122.108,10.613,0.0003784116172449091,11.505512107792331,2642.6292003526196,0.00015894622277437342,0,0,0.009461185486541464,0.006811873094815259,-0.040473655243880594,-0.029129206947882617,-0.02761641928534072,-0.12811718754430065,,,,,,,,,,0.01,0,11.627906976744185,0,0,FRESH,false,0,1
