candidate,TP,SL,feePct,totalSignals,actualEntries,ignoredSignals,completedTrades,longEntries,shortEntries,tpHits,slHits,bailoutHits,openAtSessionEnd,winRate,avgHoldMs,medianHoldMs,maxHoldMs,grossPnlUsdt,feesUsdt,netPnlUsdt,startEqUsdt,endEqUsdt,maxDrawdownUsdt,tradesPerHour
A,0.3,0.1,0.00075,165,105,60,94,63,42,52,42,0,11,0.5531914893617021,356554.3085106383,375636,688259,1.5498000000000047,2.0873590499999994,-0.5375590499999947,3.488372093023256,2.9508130430232593,0.5375590499999965,376
A,0.3,0.1,0.0005,165,165,0,114,102,63,52,62,0,51,0.45614035087719296,313589.22807017545,322875,688259,1.2306000000000057,1.6882060999999988,-0.45760609999999313,3.488372093023256,3.030765993023256,0.7999040000000006,456
A,0.3,0.15,0.001,165,34,131,34,18,16,18,16,0,0,0.5294117647058824,481302.0588235294,518198,688259,0.4521999999999987,1.006677,-0.5544770000000013,3.488372093023256,2.9338950930232546,0.5544770000000012,136
A,0.3,0.15,0.00075,165,55,110,55,28,27,28,27,0,0,0.509090909090909,424993.12727272726,426069,688259,0.6523999999999998,1.2212256000000001,-0.5688256000000004,3.488372093023256,2.919546493023255,0.5688256000000007,220
A,0.3,0.15,0.0005,165,165,0,101,102,63,52,49,0,64,0.5148514851485149,347140.8910891089,362804,688259,1.2432000000000059,1.4954617999999993,-0.25226179999999343,3.488372093023256,3.23611029302326,0.4853050999999984,404
A,0.3,0.2,0.001,165,24,141,24,12,12,12,12,0,0,0.5,548224.4583333334,550071,688259,0.15119999999999578,0.7107015999999999,-0.5595016000000042,3.488372093023256,2.9288704930232505,0.5595016000000053,96
A,0.3,0.2,0.00075,165,36,129,36,18,18,18,18,0,0,0.5,521433,539172,688259,0.22540000000000196,0.7995235500000003,-0.5741235499999984,3.488372093023256,2.9142485430232585,0.5741235499999973,144
A,0.3,0.2,0.0005,165,165,0,92,102,63,52,40,0,73,0.5652173913043478,408877.64130434784,404608,688259,1.0752000000000055,1.3621719999999993,-0.2869719999999938,3.488372093023256,3.2014000930232585,0.4166778000000022,368
A,0.3,0.25,0.001,165,22,143,22,11,11,11,11,0,0,0.5,563530.1818181818,566959,688259,0.07839999999999238,0.6515376000000002,-0.5731376000000078,3.488372093023256,2.915234493023249,0.5731376000000066,88
A,0.3,0.25,0.00075,165,34,131,34,18,16,18,16,0,0,0.5294117647058824,539783.1176470588,551092,688259,0.2043999999999972,0.7551935999999999,-0.5507936000000027,3.488372093023256,2.937578493023252,0.550793600000004,136
