id,candidate,dir,ts,entry,mfe,mae,timeToMfe,timeToMae
443,A,SHORT,1789737740849,105.98,0.1227,0.0566,78632,38068
444,B,SHORT,1789737740849,105.98,0.1227,0.0566,78632,38068
445,C,SHORT,1789737740849,105.98,0.1227,0.0566,78632,38068
446,D,SHORT,1789737740849,105.98,0.1227,0.0566,78632,38068
447,A,SHORT,1789737745390,105.96,0.1038,0.0755,74091,33527
448,C,SHORT,1789737745390,105.96,0.1038,0.0755,74091,33527
449,A,LONG,1789737750997,105.98,0.0472,0.1321,27920,68484
450,B,LONG,1789737750997,105.98,0.0472,0.1321,27920,68484
451,C,LONG,1789737750997,105.98,0.0472,0.1321,27920,68484
452,D,LONG,1789737750997,105.98,0.0472,0.1321,27920,68484
453,A,LONG,1789737756043,105.99,0.0377,0.1415,22874,63438
454,C,LONG,1789737756043,105.99,0.0377,0.1415,22874,63438
455,A,LONG,1789737760303,106,0.0283,0.1509,18614,59178
456,C,LONG,1789737760303,106,0.0283,0.1509,18614,59178
457,A,SHORT,1789737769743,106,0.1415,0.0377,49738,9174
458,A,SHORT,1789737772293,106,0.1415,0.0377,47188,6624
459,C,SHORT,1789737772293,106,0.1415,0.0377,47188,6624
460,A,LONG,1789737774342,106.02,0.0094,0.1698,4575,45139
461,C,LONG,1789737774342,106.02,0.0094,0.1698,4575,45139
462,B,LONG,1789737776885,106.02,0.0094,0.1698,2032,42596
463,D,LONG,1789737776885,106.02,0.0094,0.1698,2032,42596
464,B,LONG,1789737778409,106.03,0.0000,0.1792,0,41072
465,D,LONG,1789737778409,106.03,0.0000,0.1792,0,41072
466,A,LONG,1789737779952,106.04,0.0000,0.1886,0,39529
467,C,LONG,1789737779952,106.04,0.0000,0.1886,0,39529
468,A,LONG,1789737801874,105.91,0.0000,0.0661,0,17607
469,B,LONG,1789737801874,105.91,0.0000,0.0661,0,17607
470,A,SHORT,1789737802407,105.91,0.0567,0.0094,17074,0
471,C,SHORT,1789737802407,105.91,0.0567,0.0094,17074,0
472,A,SHORT,1789737803806,105.91,0.0567,0.0094,15675,0
473,B,SHORT,1789737803806,105.91,0.0567,0.0094,15675,0
474,C,SHORT,1789737803806,105.91,0.0567,0.0094,15675,0
475,D,SHORT,1789737803806,105.91,0.0567,0.0094,15675,0
476,A,LONG,1789737808351,105.92,0.0000,0.0755,0,11130
477,C,LONG,1789737808351,105.92,0.0000,0.0755,0,11130
478,A,LONG,1789737810907,105.91,0.0000,0.0661,0,8574
479,A,SHORT,1789737815429,105.88,0.0283,0.0378,4052,24797
480,C,SHORT,1789737815429,105.88,0.0283,0.0378,4052,24797
481,A,SHORT,1789737817473,105.88,0.0283,0.0378,2008,22753
482,C,SHORT,1789737817473,105.88,0.0283,0.0378,2008,22753
483,B,SHORT,1789737818471,105.86,0.0094,0.0567,1010,21755
484,D,SHORT,1789737818471,105.86,0.0094,0.0567,1010,21755
485,A,LONG,1789737821492,105.87,0.0378,0.0094,18734,0
486,C,LONG,1789737821492,105.87,0.0378,0.0094,18734,0
487,B,LONG,1789737822000,105.87,0.0378,0.0094,18226,0
488,D,LONG,1789737822000,105.87,0.0378,0.0094,18226,0
489,A,LONG,1789737829081,105.88,0.0283,0.0094,11145,0
490,C,LONG,1789737829081,105.88,0.0283,0.0094,11145,0
491,B,LONG,1789737832119,105.89,0.0189,0.0094,8107,0
492,D,LONG,1789737832119,105.89,0.0189,0.0094,8107,0
493,A,LONG,1789737839202,105.91,0.0000,0.0283,0,8586
494,B,LONG,1789737839202,105.91,0.0000,0.0283,0,8586
495,C,LONG,1789737839202,105.91,0.0000,0.0283,0,8586
496,D,LONG,1789737839202,105.91,0.0000,0.0283,0,8586
497,B,LONG,1789737844246,105.92,0.0000,0.0378,0,3542
498,D,LONG,1789737844246,105.92,0.0000,0.0378,0,3542
499,A,SHORT,1789737846271,105.9,0.0094,0.0094,1517,0
500,B,SHORT,1789737846271,105.9,0.0094,0.0094,1517,0
501,C,SHORT,1789737846271,105.9,0.0094,0.0094,1517,0
502,D,SHORT,1789737846271,105.9,0.0094,0.0094,1517,0
