tradeId,candidate,direction,entryTime,entryPrice,exitTime,exitPrice,quantity,notional,usedMargin,holdDurationMs,exitReason,grossPnlUsdt,entryFeeUsdt,exitFeeUsdt,feesUsdt,netPnlUsdt,entryReason,MFE,MAE,balanceBefore,balanceAfter,status
1,CONFLUENCE,SHORT,1789816262984,2639.25,1789816821539,2639.28,0.01,26.392500000000002,3.2990625000000002,558555,OPEN_AT_SESSION_END,-0.00030000000000200087,0.026392500000000003,0.0263928,0.05278530000000001,-0.05308530000000201,S-CONFLUENCE Imb:6.7x,3.6799999999998363,0.3000000000001819,11.627906976744185,11.574821676744182,OPEN_AT_SESSION_END
2,CONFLUENCE,SHORT,1789816295131,2639.39,1789816821539,2639.28,0.01,26.3939,3.2992375,526408,OPEN_AT_SESSION_END,0.0010999999999967258,0.026393899999999998,0.0263928,0.0527867,-0.05168670000000327,S-CONFLUENCE Imb:5.2x,3.819999999999709,0.010000000000218279,11.574821676744182,11.52313497674418,OPEN_AT_SESSION_END
3,CONFLUENCE,SHORT,1789816319252,2639,1789816821539,2639.28,0.01,26.39,3.29875,502287,OPEN_AT_SESSION_END,-0.002800000000002001,0.02639,0.0263928,0.052782800000000005,-0.05558280000000201,S-CONFLUENCE Imb:6.2x,3.4299999999998363,0.2800000000002001,11.52313497674418,11.467552176744178,OPEN_AT_SESSION_END
