timestamp,bestBid,bestAsk,mid,bidQty,askQty,spreadPercent,imbalance,microPrice,microEdgePercent,oneSecondReturn,twoSecondReturn,threeSecondReturn,thirtySecondReturn,oneMinuteReturn,threeMinuteReturn,fiveMinuteReturn,priceChangeFromStart,candidateACondition,candidateBCondition,candidateCCondition,candidateDCondition,signalCandidate,signalDirection,signal,positionState,entryPrice,quantity,usedMargin,availableMargin,unrealizedGrossPnl,unrealizedNetPnl,feedStatus,staleStatus,disconnectCount,reconnectCount
2026-09-23T02:10:27.927Z,2750.18,2750.19,2750.185,53.699,42.656,0.0003636119024799524,1.2588850337584396,2750.1855730372063,0.000020836314877821826,0,0,0,0,0,0,0,-0.0014544264560159123,,,,,,,,,,0.025,0,11.627906976744185,0,0,FRESH,false,0,1
2026-09-23T02:10:57.943Z,2748.2,2748.21,2748.205,138.454,32.227,0.0003638738740457236,4.296211251435133,2748.2081118577935,0.00011323237507958206,0,0,0,-0.07199515668945974,0,0,0,-0.07344853602886971,,,,,,,,,,0.025,0,11.627906976744185,0,0,FRESH,false,0,1
2026-09-23T02:11:27.957Z,2750.46,2750.47,2750.465,55.771,34.074,0.00036357488641969744,1.636761166872102,2750.4662074684175,0.000043900519268770564,0,0,0.0021814969068337277,0.08223549553254646,0.01018113326922371,0,0,0.008726558736112009,,,,,,,,,,0.025,0,11.627906976744185,0,0,FRESH,false,0,1
2026-09-23T02:11:57.963Z,2749.33,2749.34,2749.335,53.747,70.537,0.0003637243187977558,1.312389528717882,2749.3343245309134,-0.00002456845334136508,0,0,0,-0.04108396216640128,0.04111774776627323,0,0,-0.03236098864637885,,,,,,,,,,0.025,0,11.627906976744185,0,0,FRESH,false,0,1
2026-09-23T02:12:27.971Z,2750.12,2750.13,2750.125,70.136,19.548,0.0003636198354699615,3.587886228770207,2750.127820346996,0.00010255341106428728,0,-0.00181806612307151,-0.00181806612307151,0.028734221184394174,-0.012361546138567315,0,0,-0.0036360661400397804,,,,,,,,,,0.025,0,11.627906976744185,0,0,FRESH,false,0,1
2026-09-23T02:12:57.975Z,2750.41,2750.42,2750.415,57.085,79.743,0.0003635814958912847,1.3969168783393184,2750.4141720261932,-0.000030103595520524237,0,-0.004726336053404294,-0.004726336053404294,0.010544975228397386,0.03928222642929753,0,0,0.00690852566608385,,,,,,,,,,0.025,0,11.627906976744185,0,0,FRESH,false,0,1
2026-09-23T02:13:27.978Z,2749.41,2749.42,2749.415,77.323,27.506,0.0003637137354753022,2.811132116629099,2749.4173761077564,0.00008642230279497314,0,0,0,-0.03635814958833485,-0.02581700831780506,-0.027998116490344532,0,-0.029452135734347025,,,,,,,,,,0.025,0,11.627906976744185,0,0,FRESH,false,0,1
2026-09-23T02:13:57.987Z,2750.3,2750.31,2750.3050000000003,23.577,156.268,0.00036359603752178504,6.62798490053866,2750.3013109622175,-0.00013413195201280678,0,0,0.01127274776864686,0.03237052245660722,-0.00399939645470493,0.07641351354794726,0,0.002908852912048359,,,,,,,,,,0.025,0,11.627906976744185,0,0,FRESH,false,0,1
2026-09-23T02:14:27.989Z,2750.18,2750.19,2750.185,25.032,136.663,0.0003636119024799524,5.459531799296901,2750.1815480998175,-0.00012551519924755864,0,0,0,-0.004363152450377161,0.028005957630986292,-0.01018009681999953,0,-0.0014544264560159123,,,,,,,,,,0.025,0,11.627906976744185,0,0,FRESH,false,0,1
2026-09-23T02:14:57.990Z,2751.39,2751.4,2751.395,121.139,54.1,0.0003634519943598894,2.2391682070240293,2751.3969127876785,0.000069520649653014,0.007633074475182017,0.014540193639032094,0.015267314315836123,0.043997040199115205,0.0396319680908005,0.0749272096707002,0,0.04254197383850677,,,,,,,,,,0.025,0,11.627906976744185,0,0,FRESH,false,0,1
2026-09-23T02:15:27.990Z,2753.29,2753.3,2753.295,23.646,166.96,0.00036320118259097837,7.0608136682737035,2753.2912405695524,-0.00013654295844231233,0,0,0.015256777005860157,0.06905587892687495,0.11308330166880146,0.1152674878414644,0.11308330166880146,0.11162723049932874,,,,,,,,,,0.025,0,11.627906976744185,0,0,FRESH,false,0,1
2026-09-23T02:15:57.993Z,2751.8,2751.81,2751.8050000000003,61.51,117.54,0.00036339784249841576,1.9109087953178348,2751.8034353532535,-0.00005685892520831444,0,0,0,-0.05411697620486659,0.014901531768441435,0.050537827927797346,0.1309945946536144,0.057449845012694664,,,,,,,,,,0.025,0,11.627906976744185,0,0,FRESH,false,0,1
2026-09-23T02:16:27.996Z,2751.53,2751.54,2751.535,47.599,69.135,0.0003634335016550228,1.4524464799680668,2751.5340775609507,-0.00003352452537186954,0,0,0,-0.009811741747705107,-0.06392340813462481,0.077107311919077,0.03890251284781696,0.04763246643456246,,,,,,,,,,0.025,0,11.627906976744185,0,0,FRESH,false,0,1
2026-09-23T02:16:58.012Z,2752.68,2752.69,2752.685,161.898,24.78,0.00036328166863329,6.533414043583535,2752.6886725805934,0.00013341812061685453,0,0,0,0.041794852691319245,0.03197901014060423,0.08653585693221857,0.12184764679458521,0.08944722704506128,,,,,,,,,,0.025,0,11.627906976744185,0,0,FRESH,false,0,1
2026-09-23T02:17:28.027Z,2752.32,2752.33,2752.325,26.98,107.701,0.0003633291853165426,3.9918828762045955,2752.322003252129,-0.00010888059625366153,0,0,0,-0.013078140070517597,0.028711246631424412,0.07781294712900669,0.07999636380163877,0.07635738894090154,,,,,,,,,,0.025,0,11.627906976744185,0,0,FRESH,false,0,1
2026-09-23T02:17:58.039Z,2752.96,2752.97,2752.965,8.359,248.628,0.0003632447197753524,29.743749252302905,2752.960325269372,-0.00016980712171302007,-0.0010897222842666022,-0.0010897222842666022,0.003995851579546591,0.023253067860820487,0.010171886721517358,0.05706196311326304,0.09271328145026049,0.09962821223718919,,,,,,,,,,0.025,0,11.627906976744185,0,0,FRESH,false,0,1
2026-09-23T02:18:28.048Z,2753.4,2753.41,2753.4049999999997,43.678,72.401,0.0003631866724932777,1.6576079490819178,2753.403762782243,-0.00004493410001888159,0,0,0,0.015982767670478914,0.03923955201511185,0.003995213008401664,0.14512178045146992,0.11562690325336424,,,,,,,,,,0.025,0,11.627906976744185,0,0,FRESH,false,0,1
2026-09-23T02:18:58.048Z,2753.2,2753.21,2753.205,167.911,18.34,0.000363213055337989,9.155452562704472,2753.2090153073004,0.0001458412032705814,0,0,-0.007263733450030712,-0.007263733450030712,0.00871787327480668,0.05087569795096804,0.10544285088379783,0.10835477097328468,,,,,,,,,,0.025,0,11.627906976744185,0,0,FRESH,false,0,1
2026-09-23T02:19:28.054Z,2753.57,2753.58,2753.575,60.001,73.494,0.0003631642501026314,1.2248795853402443,2753.5744946252667,-0.000018353403599531835,0,0,0,0.013438883047208285,0.006174173432534363,0.07414043433937652,0.12326443493800862,0.12180821569144012,,,,,,,,,,0.025,0,11.627906976744185,0,0,FRESH,false,0,1
2026-09-23T02:19:58.054Z,2754.23,2754.24,2754.2349999999997,67.99,124.252,0.00036307722470172414,1.8275040447124578,2754.2335366881325,-0.00005312952116124535,0,0,0,0.023968840507335172,0.03741094469898701,0.056308658636920944,0.10322036639594427,0.1458062522157192,,,,,,,,,,0.025,0,11.627906976744185,0,0,FRESH,false,0,1
2026-09-23T02:20:28.063Z,2756.89,2756.9,2756.895,130.8,55.868,0.00036272690835952324,2.341232906135892,2756.8970070928062,0.00007280265683866564,0.025397332191672683,0.027211920998350955,0.027211920998350955,0.09657854177295364,0.12057053103693068,0.16604143769359228,0.13075242572989487,0.24252561154087657,,,,,,,,,,0.025,0,11.627906976744185,0,0,FRESH,false,0,1
2026-09-23T02:20:58.069Z,2756.28,2756.29,2756.285,23.658,133.614,0.0003628071842992844,5.64773015470454,2756.2815042728525,-0.00012682749234242433,0,0,0.0029025417194993566,-0.022126341409452566,0.07443083106562011,0.12059724696825817,0.16280223344312417,0.2203456080866091,,,,,,,,,,0.025,0,11.627906976744185,0,0,FRESH,false,0,1
2026-09-23T02:21:28.080Z,2757.48,2757.49,2757.4849999999997,73.904,60.252,0.0003626492981743702,1.226581690234349,2757.4855088106383,0.000018451982100394786,0,-0.0018132136128891163,-0.0018132136128891163,0.043536862116937046,0.021400887592733522,0.14818016238075865,0.21624293348984544,0.26397840176711956,,,,,,,,,,0.025,0,11.627906976744185,0,0,FRESH,false,0,1
2026-09-23T02:21:58.081Z,2759.39,2759.4,2759.395,55.742,78.81,0.0003623982793408801,1.413835169172258,2759.3941427849454,-0.000031065326079305086,-0.00760978473368603,-0.02608586961049811,-0.01666754231653606,0.06926601595295384,0.11283303431975023,0.2248288812493096,0.24376199964761808,0.3334272650419538,,,,,,,,,,0.025,0,11.627906976744185,0,0,FRESH,false,0,1
2026-09-23T02:22:28.097Z,2758.32,2758.33,2758.325,8.121,243.038,0.0003625388596254441,29.927102573574683,2758.320323340991,-0.00016954706240071907,-0.010150057728460584,-0.024284204936945258,-0.01667400685446805,-0.038776615888633695,0.03046254104737272,0.17250301880282906,0.2179975111950805,0.2945213573434868,,,,,,,,,,0.025,0,11.627906976744185,0,0,FRESH,false,0,1
2026-09-23T02:22:58.111Z,2759.22,2759.23,2759.225,56.099,82.056,0.0003624206072436383,1.4626998698729032,2759.224060584126,-0.000034046367140955155,0,0,0.015223982847632144,0.03262849736706483,-0.006160770748663122,0.18117553513045317,0.22739119458473914,0.32724595260387784,,,,,,,,,,0.025,0,11.627906976744185,0,0,FRESH,false,0,1
2026-09-23T02:23:28.123Z,2759.3,2759.31,2759.3050000000003,61.733,27.294,0.000362410099636087,2.2617791455997653,2759.306934188505,0.00007009694486446189,0,0,0,0.002899364857899664,0.03552880824415081,0.08741718491274819,0.2142801367761207,0.33015480551592624,,,,,,,,,,0.025,0,11.627906976744185,0,0,FRESH,false,0,1
2026-09-23T02:23:58.127Z,2759.29,2759.3,2759.295,224.012,51.017,0.00036241141306813074,4.390928514024736,2759.2981450319785,0.0001139795483418723,0,0,0,-0.0003624100996525675,0.002536944250656025,0.10920496247667488,0.22119675069601233,0.329791198901914,,,,,,,,,,0.025,0,11.627906976744185,0,0,FRESH,false,0,1
2026-09-23T02:24:28.127Z,2758.29,2758.3,2758.295,18.457,151.488,0.0003625428027175584,8.207617706019397,2758.291086057254,-0.00014189717728865827,0,0,0,-0.036241141306022004,-0.03660342006411826,0.02937459315283312,0.17141352605250465,0.2934305375014831,,,,,,,,,,0.025,0,11.627906976744185,0,0,FRESH,false,0,1
2026-09-23T02:24:58.129Z,2759.54,2759.55,2759.545,31.916,148.948,0.00036237858053477217,4.666875548314326,2759.541764640835,-0.00011724248617240332,0,0,0,0.04531785033870561,0.009060285326505501,0.005435974189997842,0.19279400632118904,0.3388813642520217,,,,,,,,,,0.025,0,11.627906976744185,0,0,FRESH,false,0,1
2026-09-23T02:25:28.137Z,2759.8,2759.81,2759.8050000000003,57.037,138.602,0.0003623444409936039,2.4300366428809372,2759.8029154207497,-0.00007553357032651664,-0.009420068005636228,-0.018476152178275432,-0.018476152178275432,0.03769802792191301,0.0547439632091643,0.053655751225851665,0.10555353033032848,0.34833513621614165,,,,,,,,,,0.025,0,11.627906976744185,0,0,FRESH,false,0,1
2026-09-23T02:25:58.149Z,2758.54,2758.55,2758.545,304.977,21.169,0.00036250994637456623,14.40677405640323,2758.5493509348576,0.0001577257161831469,0,0.005800495579835827,0.009063570067741122,-0.04565539956628161,-0.007974582829644956,-0.024644601292023536,0.08199442365358511,0.30252070285159083,,,,,,,,,,0.025,0,11.627906976744185,0,0,FRESH,false,0,1
2026-09-23T02:26:28.153Z,2758.57,2758.58,2758.575,17.314,202.165,0.0003625060039971193,11.676389049324246,2758.5707888681836,-0.00015265605670288038,-0.012323685216838702,-0.012323685216838702,-0.012323685216838702,0.0010875298390907286,-0.044568366243284314,-0.02645593727407709,0.03952877350194636,0.30361152269359454,,,,,,,,,,0.025,0,11.627906976744185,0,0,FRESH,false,0,1
2026-09-23T02:26:58.156Z,2757.79,2757.8,2757.795,258.648,816.694,0.0003626085332745283,3.157550029383563,2757.7924052626977,-0.00009408738874311685,0.004714133152507978,0.004714133152507978,0.017408239537376694,-0.028275468312434694,-0.02718824597749901,-0.054361711959033006,-0.05798372469327186,0.27525020680126766,,,,,,,,,,0.025,0,11.627906976744185,0,0,FRESH,false,0,1
2026-09-23T02:27:28.163Z,2758.66,2758.67,2758.665,9.994,228.782,0.0003624941774451874,22.891935161096658,2758.660418551278,-0.00016607484859859094,0,-0.0014499556857280362,-0.0014499556857280362,0.0315469423941914,0.0032625540360564976,0.013414083700252905,0.012326321227561856,0.30688398221963853,,,,,,,,,,0.025,0,11.627906976744185,0,0,FRESH,false,0,1
