symbol,timestamp,bestBid,bestAsk,mid,spread,spreadPct,bidQty1,askQty1,bidQty5,askQty5,imbalance1,imbalance5
B-STX_USDT,1789556277313,0.2366,0.2367,0.23665,0.00009999999999998899,0.0004226542688080684,1800,5930,119630,114368,0.23285899094437257,0.5112436858434688
B-STX_USDT,1789556279628,0.2366,0.2367,0.23665,0.00009999999999998899,0.0004226542688080684,1189,5930,121019,114368,0.16701783958421126,0.514127798051719
B-STX_USDT,1789556281824,0.2366,0.2367,0.23665,0.00009999999999998899,0.0004226542688080684,1061,5930,120855,110234,0.15176655700185954,0.5229803235982673
B-STX_USDT,1789556284035,0.2366,0.2367,0.23665,0.00009999999999998899,0.0004226542688080684,1793,6430,121587,109719,0.21804694150553325,0.5256543280329953
B-STX_USDT,1789556286236,0.2366,0.2367,0.23665,0.00009999999999998899,0.0004226542688080684,1793,6477,121587,109766,0.21680773881499396,0.5255475399065497
B-STX_USDT,1789556288441,0.2366,0.2367,0.23665,0.00009999999999998899,0.0004226542688080684,1793,6477,120529,109766,0.21680773881499396,0.5233678542738661
B-STX_USDT,1789556290634,0.2366,0.2367,0.23665,0.00009999999999998899,0.0004226542688080684,1793,6477,120529,109151,0.21680773881499396,0.5247692441657958
B-STX_USDT,1789556292999,0.2366,0.2367,0.23665,0.00009999999999998899,0.0004226542688080684,1793,6477,120529,110707,0.21680773881499396,0.5212380425193309
B-STX_USDT,1789556295449,0.2366,0.2367,0.23665,0.00009999999999998899,0.0004226542688080684,1793,6477,120529,110707,0.21680773881499396,0.5212380425193309
B-STX_USDT,1789556298104,0.2366,0.2367,0.23665,0.00009999999999998899,0.0004226542688080684,1246,7492,125332,114513,0.14259555962462805,0.5225541495549209
B-STX_USDT,1789556300314,0.2366,0.2367,0.23665,0.00009999999999998899,0.0004226542688080684,2290,5293,126376,110620,0.3019912963207174,0.5332410673597867
B-STX_USDT,1789556302529,0.2366,0.2367,0.23665,0.00009999999999998899,0.0004226542688080684,2290,5293,127696,110620,0.3019912963207174,0.5358263817788147
B-STX_USDT,1789556304729,0.2367,0.2368,0.23675000000000002,0.00010000000000001674,0.00042247570764688104,4143,12707,108947,97814,0.2458753709198813,0.5269223886516315
B-STX_USDT,1789556306903,0.2367,0.2368,0.23675000000000002,0.00010000000000001674,0.00042247570764688104,2639,12707,105749,97814,0.1719666362570051,0.5194902806502164
B-STX_USDT,1789556309109,0.2367,0.2368,0.23675000000000002,0.00010000000000001674,0.00042247570764688104,2661,12707,105771,98870,0.17315200416449766,0.5168612350408764
B-STX_USDT,1789556311314,0.2367,0.2368,0.23675000000000002,0.00010000000000001674,0.00042247570764688104,2661,12739,105771,97847,0.1727922077922078,0.5194580046950662
