timestamp,best_bid,best_ask,spread,spread_pct,total_bid_qty,total_ask_qty,imbalance
1789544742192,75783,75783.1,0.10000000000582077,0.00013195571566950473,3.188999999999997,14.211,0.18327586206896535
1789544743358,75783,75783.1,0.10000000000582077,0.00013195571566950473,2.816999999999998,14.171,0.1658229338356486
1789544744456,75783,75783.1,0.10000000000582077,0.00013195571566950473,3.9339999999999966,13.884,0.2207879672241552
1789544745553,75783,75783.1,0.10000000000582077,0.00013195571566950473,4.466999999999999,14.081999999999999,0.24082160763383464
1789544746653,75783,75783.1,0.10000000000582077,0.00013195571566950473,3.396999999999997,14.203,0.1930113636363635
1789544747765,75783,75783.1,0.10000000000582077,0.00013195571566950473,3.814999999999997,14.202,0.21174446356219115
1789544748874,75783,75783.1,0.10000000000582077,0.00013195571566950473,7.173,8.988,0.44384629664005937
1789544749991,75788.8,75788.9,0.09999999999126885,0.0001319456172828556,23.187000000000005,11.263000000000003,0.6730624092888243
1789544751129,75788.8,75788.9,0.09999999999126885,0.0001319456172828556,23.90900000000001,3.041999999999995,0.88712849244926
1789544752245,75788.8,75788.9,0.09999999999126885,0.0001319456172828556,22.836000000000006,6.073999999999996,0.789899688689035
1789544753352,75788.8,75788.9,0.09999999999126885,0.0001319456172828556,22.982000000000003,5.730999999999996,0.8004039981889737
1789544754441,75788.8,75788.9,0.09999999999126885,0.0001319456172828556,21.060000000000006,6.115999999999998,0.7749484839564323
1789544755550,75788.8,75788.9,0.09999999999126885,0.0001319456172828556,24.711,2.239999999999998,0.9168862008830841
1789544756647,75793,75793.1,0.10000000000582077,0.00013193830565595867,27.81400000000001,3.3239999999999985,0.8932494058706405
1789544757789,75793,75793.1,0.10000000000582077,0.00013193830565595867,26.164,3.3129999999999984,0.8876072870373511
1789544758885,75793,75793.1,0.10000000000582077,0.00013193830565595867,27.066,2.901,0.9031935128641506
1789544759989,75796.6,75796.7,0.09999999999126885,0.00013193203915646458,28.89899999999999,6.701,0.8117696629213483
1789544761084,75796.6,75796.7,0.09999999999126885,0.00013193203915646458,29.025999999999993,5.531999999999999,0.8399212917414202
1789544762220,75796.6,75796.7,0.09999999999126885,0.00013193203915646458,30.39599999999999,4.648999999999997,0.867341988871451
1789544763329,75796.6,75796.7,0.09999999999126885,0.00013193203915646458,30.570999999999994,3.0779999999999967,0.9085262563523433
1789544764427,75799.9,75800,0.10000000000582077,0.0001319262954249554,28.104000000000003,6.961999999999996,0.8014601038042548
1789544765530,75799.9,75800,0.10000000000582077,0.0001319262954249554,28.382999999999996,6.989999999999999,0.802391654651853
1789544766630,75799.9,75800,0.10000000000582077,0.0001319262954249554,7.096999999999998,17.508,0.288437309489941
1789544767727,75799.9,75800,0.10000000000582077,0.0001319262954249554,10.068,17.172000000000004,0.36960352422907483
1789544768852,75799.9,75800,0.10000000000582077,0.0001319262954249554,11.386999999999999,11.576999999999998,0.49586309005399754
1789544769966,75799.9,75800,0.10000000000582077,0.0001319262954249554,11.419999999999998,11.856999999999996,0.4906130515100744
1789544771062,75799.9,75800,0.10000000000582077,0.0001319262954249554,9.083999999999998,11.998999999999997,0.4308684722288099
1789544772169,75799.9,75800,0.10000000000582077,0.0001319262954249554,13.8,5.764999999999999,0.7053411704574496
1789544773268,75799.9,75800,0.10000000000582077,0.0001319262954249554,12.296,3.6069999999999975,0.773187448909011
1789544774373,75799.9,75800,0.10000000000582077,0.0001319262954249554,12.270999999999997,3.616999999999998,0.7723439073514603
1789544775473,75799.9,75800,0.10000000000582077,0.0001319262954249554,14.646999999999997,2.0709999999999966,0.8761215456394307
1789544776581,75799.9,75800,0.10000000000582077,0.0001319262954249554,15.269999999999996,3.4179999999999966,0.817101883561644
1789544777671,75799.9,75800,0.10000000000582077,0.0001319262954249554,15.121,2.9769999999999963,0.835506685821638
1789544778767,75799.9,75800,0.10000000000582077,0.0001319262954249554,14.641999999999998,2.922999999999996,0.8335895246228296
1789544779872,75799.9,75800,0.10000000000582077,0.0001319262954249554,13.601999999999999,3.7369999999999965,0.7844743064767289
1789544780978,75799.9,75800,0.10000000000582077,0.0001319262954249554,13.922,3.5929999999999964,0.7948615472452185
1789544782073,75799.9,75800,0.10000000000582077,0.0001319262954249554,14.874999999999996,1.8379999999999987,0.8900257284748401
1789544783171,75799.9,75800,0.10000000000582077,0.0001319262954249554,15.960999999999999,1.487,0.9147753324163227
1789544784272,75802.6,75802.7,0.09999999999126885,0.00013192159634533492,30.806000000000004,1.0330000000000001,0.9675555136781934
1789544785366,75806.6,75806.7,0.09999999999126885,0.00013191463538962154,36.343999999999994,2.3439999999999994,0.9394127377998346
1789544786462,75810,75810.1,0.10000000000582077,0.000131908719174015,33.88900000000001,6.969999999999997,0.8294133483443061
1789544787552,75810,75810.1,0.10000000000582077,0.000131908719174015,33.69000000000001,7.072,0.826505078259163
1789544788651,75810,75810.1,0.10000000000582077,0.000131908719174015,37.410999999999994,2.073,0.9474977205956843
1789544789777,75810,75810.1,0.10000000000582077,0.000131908719174015,37.33799999999998,2.0029999999999997,0.949086195063674
1789544790886,75810,75810.1,0.10000000000582077,0.000131908719174015,37.53599999999999,2.398,0.939950919016377
1789544791987,75810,75810.1,0.10000000000582077,0.000131908719174015,36.64699999999997,2.647,0.9326360258563648
1789544793090,75812.7,75812.8,0.10000000000582077,0.00013190402136557697,34.89999999999998,9.894000000000002,0.779122203866589
1789544794202,75812.7,75812.8,0.10000000000582077,0.00013190402136557697,34.710999999999984,10.576,0.7664671980921677
1789544795306,75812.7,75812.8,0.10000000000582077,0.00013190402136557697,36.89199999999999,2.9589999999999987,0.9257484128378209
1789544796425,75812.7,75812.8,0.10000000000582077,0.00013190402136557697,36.724999999999994,3.9899999999999984,0.9020017192680831
1789544797547,75815.6,75815.7,0.09999999999126885,0.00013189897592483452,28.37900000000001,9.018999999999995,0.7588373709824057
1789544798642,75815.6,75815.7,0.09999999999126885,0.00013189897592483452,28.18400000000001,10.65,0.7257557810166351
1789544799741,75815.6,75815.7,0.09999999999126885,0.00013189897592483452,28.192,10.641999999999998,0.7259617860637586
1789544800842,75811.4,75811.5,0.10000000000582077,0.00013190628323157306,7.026000000000001,11.257000000000001,0.3842914182573976
